,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
3918,2,1,2,1,1,1,1,1,2,1,1,1,1,7,7,1,1,1,1,1,2,2
1623,1,2,5,2,2,1,1,1,4,2,1,2,2,1,1,1,1,1,2,3,2,2
554,2,1,1,2,7,1,1,1,1,1,4,2,4,3,2,1,1,1,2,3,1,4
4698,1,3,2,2,1,1,1,1,2,2,1,3,3,3,2,1,1,1,2,1,4,1
1345,2,1,4,2,6,1,1,2,10,1,2,2,2,3,2,1,1,1,2,2,2,1
1406,1,3,3,1,2,1,2,1,1,2,2,2,2,3,2,1,1,1,3,3,3,1
6781,1,1,5,1,5,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,4
1952,1,2,2,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,2,2,2
1400,2,1,1,2,7,1,1,1,1,1,4,2,4,3,2,1,1,1,2,2,1,1
7529,1,3,4,1,3,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,2
4151,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
5627,1,1,5,2,2,1,1,1,11,1,3,2,2,3,8,1,1,2,3,4,5,5
1087,2,1,4,2,6,1,1,2,4,1,2,2,2,3,2,1,1,1,2,3,2,1
4245,2,2,2,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1
3467,1,2,2,1,4,1,2,2,1,1,1,2,2,3,2,1,1,1,2,2,2,2
2577,1,2,2,2,2,1,1,1,1,2,1,2,2,2,3,1,1,1,2,3,1,2
1197,1,3,3,2,8,1,1,1,10,1,5,2,2,3,2,1,1,1,2,2,6,1
7751,3,2,2,1,2,1,2,1,1,1,3,2,2,3,2,1,1,2,2,4,4,1
4334,2,1,2,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,1,1
3303,1,2,2,1,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,1,2,1
6868,1,3,4,1,1,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,4
7735,4,2,2,1,2,1,2,1,1,1,3,2,2,3,2,1,1,2,2,4,6,1
487,1,1,4,2,8,1,1,1,4,1,4,2,4,3,2,1,1,1,2,3,4,4
4105,4,3,6,2,2,1,1,1,5,1,1,2,2,3,2,1,1,2,2,7,2,7
5891,2,3,3,2,1,1,1,1,2,2,1,3,3,3,2,1,1,1,2,1,2,6
6336,2,1,4,1,5,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,3
37,1,2,1,2,7,1,2,2,1,2,1,2,2,3,2,1,1,1,2,2,2,2
5037,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,2
3946,2,1,2,1,1,1,1,1,5,1,1,1,1,7,5,1,1,1,1,1,1,1
1420,1,3,3,1,2,1,2,1,1,2,2,2,3,3,2,1,1,1,3,3,4,1
2481,1,3,7,1,4,1,2,2,6,1,1,2,2,3,2,1,1,1,2,2,4,2
3221,2,1,2,2,2,1,1,1,4,2,1,2,2,3,1,1,1,1,2,2,1,2
7588,3,1,5,1,5,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,2
6186,2,1,5,1,3,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,4
1783,4,3,1,2,7,1,1,1,10,1,5,2,2,3,2,1,1,1,2,2,4,1
3065,2,1,4,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,3,1,2
7618,3,3,5,1,5,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,2
5410,1,1,4,1,5,1,1,2,3,2,3,1,1,1,1,1,1,1,3,4,2,4
95,2,1,4,2,8,1,1,1,1,1,4,2,4,3,2,1,1,1,2,2,4,1
3795,1,3,3,1,4,1,1,2,4,1,1,2,2,3,2,1,1,1,2,2,2,2
6341,2,1,4,1,1,1,1,2,3,2,3,1,2,3,1,1,1,1,3,4,2,3
4516,1,1,2,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1,2,1
349,2,3,2,1,2,1,2,1,2,2,2,3,3,3,2,1,1,1,3,2,3,1
7203,1,3,2,1,2,1,2,1,1,1,3,1,1,3,2,1,1,2,2,4,6,1
7590,2,3,5,1,1,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,2
5632,4,1,6,2,2,1,1,1,12,1,1,2,2,3,2,1,1,2,2,7,2,1
2760,1,2,2,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,3,1,2
4313,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,4
3528,2,1,5,2,2,1,1,1,9,2,1,2,2,3,2,1,1,1,2,3,1,2
1042,1,1,4,2,2,1,1,1,6,2,1,2,2,2,3,1,1,1,2,2,2,2
940,1,2,3,1,2,1,2,1,4,2,2,3,3,3,2,1,1,1,3,3,4,1
7898,3,3,5,1,5,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,2
2488,1,1,2,2,2,1,1,1,4,2,1,2,2,2,1,1,1,1,2,2,2,2
6683,2,3,5,1,1,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,4
251,5,2,4,1,2,1,1,2,5,1,2,2,2,3,2,1,1,1,2,2,2,6
5117,1,3,3,2,1,1,1,1,9,2,1,2,3,3,2,1,1,1,2,1,4,6
334,1,2,4,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,3,1,2
4125,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,2,4
7975,4,2,3,1,2,1,2,1,5,1,3,1,2,3,2,1,1,2,2,4,6,1
1643,2,2,3,1,2,1,2,1,4,2,2,3,2,3,2,1,1,1,3,2,4,1
2673,2,2,4,2,2,1,1,1,9,2,1,2,2,2,3,1,1,1,2,3,2,2
2549,1,1,4,2,2,1,1,1,6,2,1,2,2,1,3,1,1,1,2,3,2,2
1053,1,2,4,1,2,1,2,1,10,2,2,3,2,3,2,1,1,1,3,3,4,1
927,1,2,2,1,2,1,1,2,10,1,2,2,2,3,2,1,1,1,2,2,1,6
4717,1,2,1,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,1,1
696,1,1,4,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,3,2,1
3393,2,1,4,2,2,1,1,1,9,2,1,2,2,1,1,1,1,1,2,3,1,2
3001,2,1,4,2,2,1,1,1,6,2,1,2,2,2,3,1,1,1,2,2,1,2
1056,2,3,2,1,2,1,2,1,10,2,2,2,3,3,2,1,1,1,3,2,4,1
4955,2,1,1,1,1,1,1,1,5,1,1,1,1,7,7,1,1,1,1,1,1,1
5028,2,1,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,2
3298,2,2,5,2,2,1,1,1,4,2,1,2,2,3,1,1,1,1,2,2,2,2
5816,1,1,4,1,5,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,3
1263,1,2,4,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2
5653,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,2,1
7483,3,3,4,1,3,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,3
3574,2,2,5,2,2,1,1,1,1,2,1,2,2,2,3,1,1,1,2,3,2,2
3410,1,3,2,1,4,1,1,2,4,1,1,2,2,3,2,1,1,1,2,2,4,2
6662,4,3,4,1,2,2,1,1,7,1,3,2,2,4,4,1,2,1,2,5,2,3
157,4,1,3,2,7,1,1,1,4,1,5,2,2,3,2,1,1,1,2,3,4,7
1554,2,3,4,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,2,4,6
2138,1,2,2,2,2,1,1,1,9,2,1,2,2,1,3,1,1,1,2,3,1,2
5354,2,1,1,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1
6236,2,3,5,1,3,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,2
982,1,2,4,1,2,1,2,1,10,2,2,2,2,3,2,1,1,1,3,2,4,1
6843,2,3,4,1,3,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,4
3090,1,2,2,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,1,1
503,4,1,1,2,7,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,4,1
2245,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2
1385,2,2,4,1,2,1,2,1,10,2,2,2,2,3,2,1,1,1,3,2,4,1
3601,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,3,1,2
5561,1,1,4,2,2,1,1,1,11,1,3,2,2,3,2,1,1,2,3,4,5,5
5620,2,3,3,2,1,1,1,1,2,2,1,3,2,3,2,1,1,1,2,1,2,6
6228,2,1,4,1,5,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,2
2609,1,1,5,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3,1,2
7003,3,3,3,1,2,1,2,1,5,1,3,1,1,3,2,1,1,2,2,4,6,1
4094,1,2,5,2,2,1,1,1,9,2,1,2,2,1,1,1,1,1,2,3,2,2
3007,2,2,5,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,3,1,2
8010,2,3,4,1,2,2,1,1,7,1,3,2,2,4,4,1,3,1,2,5,2,3
5440,1,1,4,1,3,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,3
2458,1,1,5,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,2,2,2
6179,2,1,5,1,1,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,3
5473,2,1,2,1,1,1,1,1,5,1,1,1,1,7,5,1,1,1,1,1,2,4
1281,1,2,3,1,2,1,2,1,4,2,2,2,3,3,2,1,1,1,3,3,4,1
7615,3,3,5,1,5,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,4
2319,1,1,2,2,2,1,1,1,9,2,1,2,2,2,1,1,1,1,2,3,1,2
4471,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1
2210,1,1,4,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2
2164,1,2,5,2,2,1,1,1,4,2,1,2,2,3,1,1,1,1,2,2,1,2
2992,2,2,4,2,2,1,1,1,4,2,1,2,2,2,3,1,1,1,2,2,1,2
1168,4,3,3,2,7,1,1,1,5,1,5,2,2,3,2,1,1,1,2,2,6,7
3132,2,1,2,2,2,1,1,1,6,2,1,2,2,2,1,1,1,1,2,2,2,2
3977,1,3,3,1,4,1,1,2,6,1,1,2,2,3,2,1,1,1,2,3,2,2
5689,1,1,5,1,5,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,3
5812,2,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,2,1
353,1,1,1,2,8,1,1,1,9,1,4,2,4,3,2,1,1,1,2,3,4,4
1562,1,2,4,2,2,1,1,1,1,2,1,2,2,1,3,1,1,1,2,2,2,2
2799,1,1,4,2,2,1,1,1,9,2,1,2,2,1,2,1,1,1,2,2,1,2
4603,2,2,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,2
6644,1,3,4,1,1,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,3
6704,1,3,4,1,5,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,2
7704,1,3,7,2,2,1,1,1,9,1,1,2,2,3,2,1,1,2,2,4,2,4
7902,1,3,5,1,1,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,4
6189,1,1,5,1,3,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,4
1922,1,2,2,1,2,1,2,1,2,2,2,3,3,3,2,1,1,1,3,2,4,1
4766,2,2,2,1,1,1,1,1,5,1,1,1,1,1,7,1,1,1,1,1,1,4
429,1,1,3,2,7,1,1,1,5,1,5,2,2,3,2,1,1,1,2,2,4,1
5720,1,1,4,1,5,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,2
5454,1,1,1,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,1,1
5595,2,3,6,2,2,1,1,1,11,1,3,2,2,6,2,1,1,2,3,4,5,5
1061,1,3,2,1,2,1,2,1,10,2,2,3,2,3,2,1,1,1,3,2,4,1
1483,2,1,1,2,8,1,1,1,4,1,4,2,4,3,2,1,1,1,2,3,1,1
6237,1,3,5,1,5,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,2
8058,3,3,4,1,1,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,4
6603,2,1,5,1,3,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,3
7235,4,3,2,1,2,1,2,1,1,1,3,1,1,3,2,1,1,2,2,4,6,1
742,4,1,3,2,7,1,1,1,10,1,5,2,2,3,2,1,1,1,2,2,6,7
3404,1,3,2,1,4,1,2,2,1,1,1,2,2,3,2,1,1,1,2,2,4,2
3260,2,2,2,2,2,1,1,1,6,2,1,2,2,3,3,1,1,1,2,3,1,2
3543,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2
7903,1,2,2,1,2,1,2,1,1,1,3,1,2,3,2,1,1,2,2,4,4,1
4098,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,2
4960,2,2,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1,1,1
4053,2,1,5,2,2,1,1,1,1,2,1,2,2,2,3,1,1,1,2,3,2,2
1928,2,3,2,1,2,1,2,1,1,2,2,2,2,3,2,1,1,1,3,3,4,1
3102,2,2,1,1,1,1,1,1,5,1,1,1,1,7,5,1,1,1,1,1,1,4
4915,1,1,1,1,1,1,1,1,2,1,1,1,1,7,5,1,1,1,1,1,1,2
1193,4,3,3,2,7,1,1,1,5,1,5,2,2,3,2,1,1,1,2,3,6,1
1617,1,3,4,1,2,1,2,1,2,2,2,2,2,3,2,1,1,1,3,2,4,1
483,2,3,3,2,7,1,2,2,9,2,1,2,2,3,2,1,1,1,2,2,2,2
6082,2,1,4,1,3,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,4
5374,1,1,4,1,1,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,2
7020,2,3,5,1,3,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,2
6676,2,1,5,1,5,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,4
7145,2,1,8,1,9,1,1,1,9,1,5,1,4,8,9,1,1,3,5,4,5,2
3439,2,1,2,2,2,1,1,1,6,2,1,2,2,3,1,1,1,1,2,3,2,2
4290,3,3,7,2,2,1,1,1,11,1,3,2,2,3,8,1,1,2,3,4,5,5
5372,1,3,3,2,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,1,4,1
5838,1,1,9,1,2,1,1,2,9,1,3,2,3,3,2,1,1,1,4,1,2,2
4231,2,3,3,2,1,1,1,1,1,2,1,3,3,3,2,1,1,1,2,1,4,6
4320,2,2,2,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1
2303,1,1,2,2,2,1,1,1,9,2,1,2,2,1,3,1,1,1,2,3,2,2
1544,1,1,5,2,2,1,1,1,6,2,1,2,2,2,3,1,1,1,2,3,1,2
2107,1,2,2,2,2,1,1,1,9,2,1,2,2,1,2,1,1,1,2,3,2,2
4567,2,1,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,4
1302,1,2,4,2,2,1,1,1,4,2,1,2,2,3,2,1,1,1,2,2,1,2
1244,1,2,2,1,2,1,2,1,10,2,2,2,2,3,2,1,1,1,3,3,3,1
2927,1,2,2,2,2,1,1,1,4,2,1,2,2,2,1,1,1,1,2,2,1,2
6916,2,3,5,1,3,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,2
4740,2,1,2,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,4
4253,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4
4622,2,1,2,1,1,1,1,1,2,1,1,1,1,7,7,1,1,1,1,1,1,1
8097,3,3,5,1,5,1,1,2,3,2,3,1,1,3,1,1,1,1,3,4,2,2
7803,3,3,5,1,5,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,3
7540,3,2,3,1,2,1,2,1,5,1,3,1,1,3,2,1,1,2,2,4,4,1
1559,1,2,2,1,2,1,2,1,2,2,2,3,2,3,2,1,1,1,3,2,3,1
3464,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,1,1,1,1,1,1,2
1417,1,3,2,1,2,1,2,1,2,2,2,3,3,3,2,1,1,1,3,2,4,1
5434,1,3,2,2,1,1,1,1,2,2,1,3,2,3,2,1,1,1,2,1,2,6
3684,2,1,4,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,2,2,2
1550,4,3,3,2,8,1,1,1,5,1,5,2,2,3,2,1,1,1,2,3,6,7
2984,2,1,2,2,2,1,1,1,9,2,1,2,2,2,1,1,1,1,2,3,1,2
3910,1,1,2,1,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,1,1,1
1017,2,3,4,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,2,4,1
1277,1,3,3,1,2,1,2,1,2,2,2,2,2,3,2,1,1,1,3,3,4,1
3459,2,2,2,2,2,1,1,1,6,2,1,2,2,2,2,1,1,1,2,3,1,2
6067,1,2,3,1,2,1,2,1,9,1,3,1,1,3,2,1,1,2,2,4,6,1
6698,2,1,5,1,3,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,3
4708,2,3,6,2,1,1,1,1,1,2,1,3,3,3,2,1,1,1,2,1,2,6
496,2,1,4,2,7,1,1,1,1,1,4,2,4,3,2,1,1,1,2,2,4,1
3413,2,2,2,2,2,1,1,1,9,2,1,2,2,2,2,1,1,1,2,2,1,2
6322,2,1,4,1,3,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,4
6754,2,1,4,1,3,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,2
4472,1,1,1,1,1,1,1,1,5,1,1,1,1,7,7,1,1,1,1,1,2,4
2885,2,2,4,2,2,1,1,1,4,2,1,2,2,1,3,1,1,1,2,3,2,2
2997,1,1,5,2,2,1,1,1,9,2,1,2,2,2,2,1,1,1,2,3,2,2
6821,2,1,5,1,5,1,1,2,3,2,3,2,2,3,1,1,1,1,3,4,2,3
1718,2,3,3,1,2,1,2,1,10,2,2,2,2,3,2,1,1,1,3,3,3,1
6239,2,1,4,1,3,1,1,2,3,2,3,2,1,1,1,1,1,1,3,4,2,3
1954,1,3,3,2,6,1,1,2,1,1,2,2,2,3,2,1,1,1,2,3,2,1
8025,2,3,4,1,2,2,1,1,8,1,3,2,2,4,4,1,2,1,2,2,2,3
393,2,1,4,2,7,1,1,1,9,1,4,2,4,3,2,1,1,1,2,3,4,1
3765,2,1,4,2,2,1,1,1,9,2,1,2,2,2,3,1,1,1,2,2,2,2
2399,1,3,3,2,6,1,1,2,4,1,2,2,2,3,2,1,1,1,2,3,2,1
230,1,1,3,2,6,1,1,2,10,1,2,2,2,3,2,1,1,1,2,3,4,6
4325,1,1,10,1,2,1,1,2,1,1,3,2,3,3,2,1,1,1,4,1,2,2
5332,2,3,3,2,1,1,1,1,9,2,1,2,3,3,2,1,1,1,2,1,2,6
6255,2,1,5,1,5,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,3
1511,2,3,4,1,2,1,2,1,2,2,2,2,2,3,2,1,1,1,3,3,3,1
6183,1,1,5,1,3,1,1,2,3,2,3,1,1,1,1,1,1,1,3,4,2,3
6555,2,1,5,1,3,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,4
1261,2,3,3,2,6,1,1,2,10,1,2,2,2,3,2,1,1,1,2,3,4,1
6087,2,3,4,1,5,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,3
33,4,1,1,2,8,1,1,1,4,1,5,2,2,3,2,1,1,1,2,2,4,7
7813,1,3,3,1,2,1,2,1,5,1,3,2,2,3,2,1,1,2,2,4,6,1
6357,1,3,4,1,5,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,4
5916,1,3,5,2,2,1,1,1,9,1,3,2,2,3,2,1,1,2,3,4,5,5
1545,2,3,4,2,6,1,1,2,10,1,2,2,2,3,2,1,1,1,2,3,4,6
1992,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2
625,2,2,1,2,8,1,2,2,9,2,1,2,2,3,2,1,1,1,2,8,2,2
4862,2,2,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,1,4
4838,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,2,4
1894,1,1,4,2,2,1,1,1,9,2,1,2,2,2,3,1,1,1,2,2,2,2
5356,1,3,3,2,1,1,1,1,9,2,1,3,2,3,2,1,1,1,2,1,4,6
61,4,3,1,2,8,1,1,1,5,1,5,2,2,3,2,1,1,1,2,2,4,7
3207,1,2,2,1,1,1,1,1,2,1,1,1,1,7,5,1,1,1,1,1,2,1
5905,1,3,6,2,2,1,1,1,9,1,3,2,2,6,8,1,1,2,3,4,5,5
2133,1,2,4,2,2,1,1,1,9,2,1,2,2,1,3,1,1,1,2,2,2,2
7202,3,3,5,1,5,1,1,2,3,2,3,1,1,1,2,1,1,1,3,4,2,3
4076,2,1,4,2,2,1,1,1,6,2,1,2,2,1,2,1,1,1,2,2,1,2
332,4,1,1,2,7,1,1,1,4,1,5,2,2,3,2,1,1,1,2,3,4,1
6162,2,1,5,1,3,1,1,2,3,2,3,2,1,3,2,1,1,1,3,4,2,2
2441,1,2,2,2,2,1,1,1,4,2,1,2,2,1,2,1,1,1,2,3,1,2
4247,2,1,2,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,1,2,2
5058,2,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,2,4
1074,2,3,2,1,2,1,2,1,10,2,2,3,2,3,2,1,1,1,3,3,3,1
4216,1,2,1,1,1,1,1,1,2,1,1,1,1,7,5,1,1,1,1,1,1,1
2753,1,1,4,2,2,1,1,1,9,2,1,2,2,2,1,1,1,1,2,2,2,2
1323,1,3,4,1,2,1,2,1,10,2,2,3,2,3,2,1,1,1,3,2,3,1
5903,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,2
7327,4,3,3,1,2,1,2,1,5,1,3,2,2,3,2,1,1,2,2,4,6,1
2543,1,1,2,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,3,1,2
3347,2,2,5,2,2,1,1,1,4,2,1,2,2,1,2,1,1,1,2,3,2,2
5922,2,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,1,2,1
3529,1,2,2,2,2,1,1,1,4,2,1,2,2,1,3,1,1,1,2,2,1,2
4773,1,2,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,2,2
586,2,2,4,1,2,1,1,2,4,1,2,2,2,3,2,1,1,1,2,3,1,6
4463,2,1,1,1,1,1,1,1,2,1,1,1,1,5,7,1,1,1,1,1,2,1
5216,1,3,3,2,1,1,1,1,9,2,1,2,2,3,2,1,1,1,2,1,2,6
7891,3,3,4,1,5,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,4
538,2,3,3,2,7,1,2,2,1,2,1,2,2,3,2,1,1,1,2,8,2,2
7686,3,1,4,1,3,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,4
1502,1,2,2,1,2,1,2,1,2,2,2,2,2,3,2,1,1,1,3,3,3,1
79,1,3,4,1,2,1,2,1,10,2,2,3,2,3,2,1,1,1,3,2,4,1
5825,2,1,5,2,2,1,1,1,11,1,3,2,2,6,2,1,1,2,3,4,5,5
1672,1,3,3,1,2,1,2,1,4,2,2,2,3,3,2,1,1,1,3,2,4,1
4222,1,1,2,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,4
6074,1,3,5,1,1,1,1,2,3,2,3,1,2,1,1,1,1,1,3,4,2,2
6280,1,3,5,1,5,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,3
6250,1,3,5,1,3,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,4
5634,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,4
1010,1,3,3,1,2,1,2,1,10,2,2,2,2,3,2,1,1,1,3,3,4,1
6945,1,3,5,1,1,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,2
7397,4,3,2,1,2,1,2,1,1,1,3,1,1,3,2,1,1,2,2,4,4,1
4411,2,1,2,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,2
3016,1,2,2,1,1,1,1,1,5,1,1,1,1,1,7,1,1,1,1,1,1,4
7331,3,3,5,1,1,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,4
811,1,1,3,2,6,1,1,2,1,1,2,2,2,3,2,1,1,1,2,3,2,6
149,1,1,3,2,7,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,4,1
4013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,4
4201,1,2,1,1,1,1,1,1,5,1,1,1,1,5,7,1,1,1,1,1,2,1
5125,6,4,3,2,2,1,2,2,9,1,1,2,2,3,2,1,1,1,2,4,5,3
3320,2,2,4,2,2,1,1,1,9,2,1,2,2,3,1,1,1,1,2,3,2,2
169,1,2,2,1,2,1,1,2,5,1,2,2,2,3,2,1,1,1,2,2,1,6
2821,1,1,5,2,2,1,1,1,4,2,1,2,2,1,3,1,1,1,2,2,1,2
3316,2,1,2,2,2,1,1,1,1,2,1,2,2,1,3,1,1,1,2,2,2,2
6913,4,3,2,1,2,1,2,1,5,1,3,1,1,3,2,1,1,2,2,4,6,1
2034,1,3,2,1,2,1,2,1,1,2,2,2,2,3,2,1,1,1,3,2,3,1
6326,1,3,5,1,5,1,1,2,3,2,3,2,2,1,1,1,1,1,3,4,2,3
2578,1,1,5,2,2,1,1,1,4,2,1,2,2,1,1,1,1,1,2,3,1,2
1882,1,2,4,2,2,1,1,1,6,2,1,2,2,2,3,1,1,1,2,2,1,2
3539,1,1,4,2,2,1,1,1,9,2,1,2,2,2,1,1,1,1,2,2,1,2
1509,1,2,3,1,2,1,2,1,4,2,2,3,2,3,2,1,1,1,3,2,3,1
5019,2,3,3,2,1,1,1,1,2,2,1,2,3,3,2,1,1,1,2,1,2,6
1044,1,3,3,2,7,1,1,1,9,1,5,2,2,3,2,1,1,1,2,2,4,1
3593,2,2,2,1,1,1,1,1,5,1,1,1,1,7,5,1,1,1,1,1,1,1
5773,4,3,7,2,2,1,1,1,5,1,1,2,2,3,2,1,1,2,2,7,2,1
6979,3,3,4,1,5,1,1,2,3,2,3,1,1,3,2,1,1,1,3,4,2,3
4667,1,1,2,1,1,1,1,1,5,1,1,1,1,1,7,1,1,1,1,1,1,4
509,2,2,4,1,2,1,1,2,10,1,2,2,2,3,2,1,1,1,2,2,1,6
6330,1,2,2,1,2,1,2,1,9,1,3,2,1,3,2,1,1,2,2,4,4,1
3043,2,1,2,2,2,1,1,1,9,2,1,2,2,3,2,1,1,1,2,2,2,2
4562,1,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,2
3395,2,2,5,2,2,1,1,1,4,2,1,2,2,1,2,1,1,1,2,2,1,2
6354,1,3,4,1,5,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,4
